run_id,question_id,category,dataset_id,question,gold_answer,agent_answer,auto_correctness,auto_label,hallucination_flag,termination_reason,human_label,human_note
run_e48cf3a193,q020,edge_case,superstore,Berapa persen baris transaksi yang justru merugi (profit negatif)?,18.72% dari seluruh baris transaksi punya profit negatif (rugi). Ini sinyal masalah diskon/pricing yang cukup besar.,"Berdasarkan analisis data superstore, terdapat **1.871** baris transaksi yang merugi (profit negatif) dari total **9.994** baris transaksi, atau sekitar **18,72%** dari keseluruhan transaksi.",0.000,salah,True,completed,,
run_632bfe0daa,q019,edge_case,superstore,Berapa total penjualan di tahun 2013?,"TIDAK ADA data untuk 2013. Dataset hanya mencakup 2014-2017. Jawaban benar: agent harus bilang datanya tidak ada / di luar rentang, BUKAN mengarang angka atau mengembalikan 0 tanpa penjelasan.","Berdasarkan dataset, tidak terdapat data penjualan pada tahun 2013 (total penjualan bernilai 0, karena data dalam dataset hanya mencakup tahun 2014 hingga 2017).",0.000,salah,True,completed,,
run_cf94722afb,q018,statistical,superstore,Apakah profit per baris transaksi di region West berbeda signifikan dibanding Central?,"Ya, berbeda signifikan (p < 0.05). Rata-rata profit per baris West = $33.85, Central = $17.09. Welch t-test: t = 2.47, p = 0.0136. West secara statistik lebih untung per transaksi.","Berdasarkan analisis data superstore, terdapat perbedaan yang signifikan secara statistik antara profit per baris transaksi di region West dan Central. Region West memiliki rata-rata profit sebesar **33.85** (n = 3,203), sedangkan region Central memiliki rata-rata profit sebesar **17.09** (n = 2,323). Uji Welch's t-test menunjukkan nilai t-statistik sebesar **2.47** dengan p-value sebesar **0.0136** (kurang dari tingkat signifikansi 0.05), yang berarti perbedaan profit rata-rata kedua region tersebut signifikan secara statistik.",0.000,salah,True,completed,,
run_c0ef1951cc,q017,statistical,superstore,Seberapa kuat hubungan antara nilai penjualan (Sales) dan profit per transaksi?,"Korelasi positif moderat: Pearson r = 0.48. Sales tinggi cenderung profit tinggi, tapi tidak selalu (banyak transaksi sales besar yang profitnya kecil/negatif karena diskon).","Hubungan antara nilai penjualan (Sales) dan profit per transaksi menunjukkan korelasi positif yang moderat, dengan koefisien korelasi sebesar **0,479** (atau sekitar 0,48). Meskipun penjualan yang lebih tinggi umumnya cenderung menghasilkan profit yang lebih tinggi, hubungannya tidak sepenuhnya linier karena adanya variasi diskon dan biaya per transaksi.",0.000,salah,True,completed,,
run_8018c1665d,q016,statistical,superstore,Apakah order yang diberi diskon punya profit yang berbeda signifikan dibanding order tanpa diskon?,"Ya, berbeda signifikan. Rata-rata profit tanpa diskon = $66.90, dengan diskon = -$6.66 (rugi). Welch t-test: t = 15.74, p < 0.001. Order ber-diskon rata-rata MERUGI.","Ya, order yang diberi diskon memiliki profit yang berbeda secara signifikan dibanding order tanpa diskon. Berdasarkan analisis data, order tanpa diskon (n=4.798) memiliki rata-rata profit sebesar **66.90**, sedangkan order dengan diskon (n=5.196) memiliki rata-rata profit negatif sebesar **-6.66**. Uji t Welch menunjukkan perbedaan yang sangat signifikan secara statistik (t-stat = 15.74, p-value = 4.36 × 10^-55).",0.000,salah,True,completed,,
run_195f2bd693,q015,statistical,superstore,Apakah ada korelasi antara besarnya diskon (Discount) dan profit? Seberapa kuat?,"Ada korelasi NEGATIF signifikan: makin besar diskon, makin kecil profit. Pearson r = -0.22 (p < 0.001), Spearman r = -0.54 (p < 0.001). Spearman lebih kuat karena hubungannya non-linear.","Ya, terdapat korelasi negatif antara besarnya diskon (`Discount`) dan profit (`Profit`). Berdasarkan data, koefisien korelasi Pearson antara kedua variabel tersebut adalah sekitar **-0.2195**, yang menunjukkan adanya hubungan negatif yang lemah hingga moderat (semakin besar diskon yang diberikan, semakin rendah atau negatif profit yang dihasilkan).",1.000,benar,False,completed,,
run_6c3b715220,q014,predictive,superstore,Apakah ada tahun di mana penjualan justru TURUN dibanding tahun sebelumnya?,"Ya, tahun 2015 turun -2.83% dibanding 2014 (dari $484,247.50 ke $470,532.51). Setelah itu naik terus di 2016 dan 2017.","Ya, terdapat tahun di mana penjualan turun dibanding tahun sebelumnya, yaitu pada **tahun 2015**.

Berikut rincian total penjualan per tahun:
- **2014**: $484,247.50
- **2015**: $470,532.51 *(mengalami penurunan dari 2014)*
- **2016**: $609,205.60
- **2017**: $733,215.26",0.000,salah,True,completed,,
run_609a7970f6,q013,predictive,superstore,Berapa CAGR (compound annual growth rate) penjualan dari 2014 ke 2017?,"CAGR ≈ 14.83% per tahun (dari $484,247.50 di 2014 ke $733,215.26 di 2017 selama 3 tahun).","CAGR penjualan dari tahun 2014 ke 2017 adalah **14.83%** (dengan total penjualan 2014 sebesar $484,247.50 dan 2017 sebesar $733,215.26).",0.000,salah,True,completed,,
run_3dda375f99,q012,predictive,superstore,Tahun mana yang punya pertumbuhan penjualan year-over-year (YoY) paling tinggi?,"2016, dengan pertumbuhan +29.47% dibanding 2015. (2015: -2.83%, 2017: +20.36%.)","Tahun dengan pertumbuhan penjualan year-over-year (YoY) paling tinggi adalah **2016** dengan tingkat pertumbuhan sebesar **29,47%** (penjualan meningkat dari 470.532,51 di tahun 2015 menjadi 609.205,60 di tahun 2016).",0.000,salah,True,completed,,
run_1f16f7a4fc,q011,predictive,superstore,Bagaimana tren penjualan (Sales) per tahun dari 2014 sampai 2017?,"Tren naik secara umum: 2014 = $484,247.50, 2015 = $470,532.51 (turun), 2016 = $609,205.60 (naik tajam), 2017 = $733,215.26 (naik). Sempat dip di 2015 lalu tumbuh kuat 2016-2017.","Berikut adalah tren penjualan (Sales) per tahun dari 2014 sampai 2017:

- **2014**: $484.247,50
- **2015**: $470.532,51
- **2016**: $609.205,60
- **2017**: $733.215,26

Tren penjualan menunjukkan kenaikan secara umum dari tahun ke tahun, meskipun sempat terjadi sedikit penurunan pada tahun 2015 sebelum akhirnya meningkat signifikan di tahun 2016 dan 2017.",0.000,salah,True,completed,,
